epoch,time,domain,freq,dyn_power,leak_power,total_power,dyn_energy,leak_energy,total_energy,class0_energy
1,10000,0,1,0.636491,0,0.636491,6364.91,0,6364.91,6364.91
2,20000,0,1,0.655861,0,0.655861,6558.61,0,6558.61,6558.61
3,30000,0,1,0.674802,0,0.674802,6748.02,0,6748.02,6748.02
4,40000,0,1,0.693636,0,0.693636,6936.36,0,6936.36,6936.36
5,50000,0,1,0.712534,0,0.712534,7125.34,0,7125.34,7125.34
6,60000,0,1,0.731352,0,0.731352,7313.52,0,7313.52,7313.52
7,70000,0,1,0.750235,0,0.750235,7502.35,0,7502.35,7502.35
8,80000,0,1,0.769343,0,0.769343,7693.43,0,7693.43,7693.43
9,90000,0,1,0.787865,0,0.787865,7878.65,0,7878.65,7878.65
10,100000,0,1,0.806601,0,0.806601,8066.01,0,8066.01,8066.01
11,110000,0,1,0.825284,0,0.825284,8252.84,0,8252.84,8252.84
12,120000,0,1,0.843517,0,0.843517,8435.17,0,8435.17,8435.17
13,130000,0,1,0.86342,0,0.86342,8634.2,0,8634.2,8634.2
14,140000,0,1,0.881984,0,0.881984,8819.84,0,8819.84,8819.84
15,150000,0,1,0.899922,0,0.899922,8999.22,0,8999.22,8999.22
16,160000,0,1,0.91978,0,0.91978,9197.8,0,9197.8,9197.8
17,170000,0,1,0.938639,0,0.938639,9386.39,0,9386.39,9386.39
18,180000,0,1,0.957351,0,0.957351,9573.51,0,9573.51,9573.51
19,190000,0,1,0.975451,0,0.975451,9754.51,0,9754.51,9754.51
20,200000,0,1,0.87069,0,0.87069,8706.9,0,8706.9,8706.9
21,210000,0,1,1.01194,0,1.01194,10119.4,0,10119.4,10119.4
22,220000,0,1,1.03119,0,1.03119,10311.9,0,10311.9,10311.9
23,230000,0,1,1.04967,0,1.04967,10496.7,0,10496.7,10496.7
