epoch,time,total_power,headroom,avg_power,class0_p50,class0_p95,class0_p99,class0_qdel_p99,class0_throughput,class0_stall_busy_rate,class0_stall_full_rate,class0_stall_conflict_rate,class0_stall_reserved_rate,class0_stall_xbar_rate
1,10000,0.636491,9.36351,0.636491,11,27,29,0,0.2409,0,0,0,0.00020625,0.00358125
2,20000,0.655861,9.34414,0.646176,0,0,0,0,0,0,0,0,0,0
3,30000,0.674802,9.3252,0.655718,0,0,0,0,0.0001,0,0,0,0,0
4,40000,0.693636,9.30636,0.665198,10,24,28,0,0.2998,0,0,0,0.000175,0.0049875
5,50000,0.712534,9.28747,0.674665,11,25,28,0,0.2963,0,0,0,0.00046875,0.00686875
6,60000,0.731352,9.26865,0.684113,11,24,28,0,0.3077,0,0,0,0.0002875,0.00459375
7,70000,0.750235,9.24977,0.693559,11,27,29,0,0.3192,0,0,0,0.00051875,0.005125
8,80000,0.769343,9.23066,0.703032,15,15,15,0,0,0,0,0,0,0
9,90000,0.787865,9.21213,0.712458,0,0,0,0,0,0,0,0,0,0
10,100000,0.806601,9.1934,0.721872,0,0,0,0,0,0,0,0,0,0
11,110000,0.825284,9.17472,0.731273,0,0,0,0,0,0,0,0,0,0
12,120000,0.843517,9.15648,0.740627,0,0,0,0,0,0,0,0,0,0
13,130000,0.86342,9.13658,0.750072,0,0,0,0,0,0,0,0,0,0
14,140000,0.881984,9.11802,0.759495,0,0,0,0,0,0,0,0,0,0
15,150000,0.899922,9.10008,0.768857,0,0,0,0,0,0,0,0,0,0
16,160000,0.91978,9.08022,0.778289,0,0,0,0,0,0,0,0,0,0
17,170000,0.938639,9.06136,0.787722,0,0,0,0,0,0,0,0,0,0
18,180000,0.957351,9.04265,0.797145,0,0,0,0,0,0,0,0,0,0
19,190000,0.975451,9.02455,0.80653,0,0,0,0,0,0,0,0,0,0
20,200000,0.87069,9.12931,0.809738,0,0,0,0,0,0,0,0,0,0
21,210000,1.01194,8.98806,0.819367,0,0,0,0,0,0,0,0,0,0
22,220000,1.03119,8.96881,0.828995,0,0,0,0,0,0,0,0,0,0
23,230000,1.04967,8.95033,0.838589,0,0,0,0,0,0,0,0,0,0
